channel_created_at,channel_followers,channel_game,channel_lan,channel_mature,channel_partner,channel_views,channel_description,stream_viewers
2014-03-20 22:28:22.813998,2854562,Just Chatting,en,False,True,14257157,Youtube.com/AdinRoss                                                        Twitter.com/adinross,130093
2020-08-19 03:18:41.005557,1688782,Grand Theft Auto V,pt-br,False,True,16404958,"Eaeeee! Meu nome é Victor, mais conhecido como Coringa! Sou da Loud, uma organização giganteee com diversos criadores e faço lives todos os dias aqui na Twitch. Prepare-se pra dar muitas risadas, passar nervoso em diversos games e acima de tudo se divertir! Ja segue e liga as notificações.",101408
2014-09-12 23:50:05.989719,5516226,DEVOUR,en,False,True,328189984,Overwatch Professional tank player and full time streamer. EZ Clap,95340
2011-11-15 01:29:29.140794,3258948,Grand Theft Auto V,en,False,True,53333877,Hi ! ,66902
2021-01-18 09:27:29.883783,362185,Golf With Your Friends,en,False,False,551392,Shut up dont tell anyone stop stop stop,57725
2013-11-14 00:27:41.456706,4231883,League of Legends,en,False,True,233648974,Season 6 Challenger | Most REFORMED Player NA | #1 Draven World ,41450
2016-04-06 04:12:40.993797,1063622,Grand Theft Auto V,en,True,True,86698529,penis,27563
2012-11-03 15:50:32.878470,9035219,DayZ,en,False,True,465620510,I'm back baby,22637
2019-01-29 02:40:17.353350,1948,Dungeons & Dragons,en,False,True,6085375,Latinx in Games (LXIG) is a non profit working in the gaming space!,20014
2016-10-31 02:37:47.846189,340359,Just Chatting,pt-br,False,True,10072957,Um cara dando role por ai,19900
2018-08-03 18:58:57.140592,1589669,Fortnite,es,False,True,28540424,"Soy Jelty.Jugador Mexicano, juego desde la temporada 1 en PS4 y después me cambié a PC y me hice bueno, hago streams casi todos los días por las tardes (hora mexico)",16902
2011-01-16 04:31:20.024666,16614265,League of Legends,en,False,True,534833289,,16480
2018-09-25 11:32:10.005123,325558,Just Chatting,es,False,True,3288820,CUACK,16363
2017-05-03 07:23:55.380526,582725,It Takes Two,fr,False,True,27673008,j'sais pas ce que j'fout la -  contact@jltomy.com,16285
2018-03-23 20:06:49.740489,1165941,Hades,en,False,True,61816844,i'm a political commentator irl trying to avoid heated gaming moments,15355
2016-10-10 14:54:52.994602,430464,Grand Theft Auto V,en,True,True,30837345,PepeHands,14607
2012-12-06 03:29:52.238032,450814,Just Chatting,en,False,True,7443147,Playing games for your amusement ,13953
2017-05-07 00:21:11.451083,569869,Hollow Knight,en,False,True,1427146854,"Fextralife is a video game community and video game news resource fueled by a team of dedicated gamers with a focus on the RPG genre as well as innovative games. We are here to share detailed game mechanics and information via our Video Game Wiki Hub, and news, previews, reviews, articles and guides",13760
2011-11-22 04:40:56.758830,3048187,World of Warcraft,en,True,True,360870206,"Wtf do i write here? Click my stream, or i scream.",13726
2013-10-16 16:40:30.180455,304456,Grand Theft Auto V,en,True,True,19870227,,13608
2016-08-15 17:58:51.624618,351312,Grand Theft Auto V,es,False,True,8073291,Amigo de mis amigos (y de Ibai) ,13559
2020-03-03 15:30:13.571973,312413,Just Chatting,es-mx,False,True,1038017,"Me gusta hacer desmadre, jalate y pasemos un buen rato juntos.",13469
2010-05-31 13:45:53.614933,1326841,From The Darkness,de,True,True,97107639,Zart im Schmelz und süffig im Abgang. Ungebremster Spieltrieb seit 1896.,13281
2020-05-28 21:13:28.450004,1626670,Grand Theft Auto V,es-mx,True,True,23401646,,12469
